Date,log_returns,Open,High,Low,Close
2014/4/25,-0.017700094,4125.16,4126.98,4068.1,4075.56
2014/4/28,-0.000284664,4091.81,4111.59,4014.17,4074.4
2014/4/29,0.007126519,4089.51,4111.45,4070.24,4103.54
2014/4/30,0.002681887,4085.19,4116.14,4070.62,4114.56
2014/5/1,0.00312788,4121.25,4149.56,4105.61,4127.45
2014/5/2,-0.000860465,4138.63,4145.06,4115.89,4123.9
2014/5/5,0.003427761,4099.25,4138.34,4086.35,4138.06
2014/5/6,-0.013943833,4128.22,4132.46,4080.76,4080.76
2014/5/7,-0.003212892,4085.49,4091.03,4021.05,4067.67
2014/5/8,-0.003983171,4053.28,4109.2,4039.91,4051.5
2014/5/9,0.00501517,4043.44,4071.87,4025.24,4071.87
2014/5/12,0.017525367,4092.84,4146.54,4092.09,4143.86
2014/5/13,-0.003311573,4144.9,4155.13,4128.01,4130.16
2014/5/14,-0.007175527,4122.08,4132.33,4093.83,4100.63
2014/5/15,-0.007672083,4096.53,4098.25,4035.96,4069.29
2014/5/16,0.005220677,4070.35,4091.16,4044.27,4090.59
2014/5/19,0.00857315,4080.33,4128.47,4075.7,4125.81
2014/5/20,-0.007034215,4121.11,4124.86,4080.61,4096.89
2014/5/21,0.00842207,4105.96,4133.61,4103.61,4131.54
2014/5/22,0.005503352,4136.09,4164.85,4131.47,4154.34
2014/5/23,0.007546663,4159.78,4186.58,4148.3,4185.81
2014/5/27,0.012171759,4206.44,4237.07,4204.72,4237.07
2014/5/28,-0.002836164,4234.96,4238.17,4216.89,4225.07
2014/5/29,0.005400685,4238.04,4247.95,4228.96,4247.95
2014/5/30,-0.001255511,4251.49,4252.08,4221.95,4242.62
2014/6/2,-0.001278329,4247.96,4247.96,4207.61,4237.2
2014/6/3,-0.000736607,4222.04,4240.35,4215.8,4234.08
2014/6/4,0.004138724,4222.21,4256.19,4216.23,4251.64
2014/6/5,0.010433103,4259.12,4299.5,4241.68,4296.23
2014/6/6,0.00584153,4312.76,4322.51,4305.74,4321.4
2014/6/9,0.003428189,4324.35,4346.74,4320.28,4336.24
2014/6/10,0.000405799,4329.2,4338.87,4319.93,4338
2014/6/11,-0.001400242,4322.92,4338.21,4315.49,4331.93
2014/6/12,-0.007949462,4323.11,4328.35,4284.53,4297.63
2014/6/13,0.003024997,4315.31,4317.67,4288.41,4310.65
2014/6/16,0.002421295,4303.93,4326.89,4296.26,4321.1
2014/6/17,0.003725896,4316.01,4346.12,4311.15,4337.23
2014/6/18,0.005887326,4341.18,4365.1,4320.54,4362.84
2014/6/19,-0.000804846,4370.14,4372.18,4339.61,4359.33
2014/6/20,0.00199602,4365.37,4368.8,4354.03,4368.04
2014/6/23,0.000146508,4368.95,4371.81,4358.68,4368.68
2014/6/24,-0.004204602,4367.9,4399.87,4342.9,4350.35
2014/6/25,0.006737627,4341.82,4383.55,4339.41,4379.76
2014/6/26,-0.000162122,4379.44,4379.8,4347.45,4379.05
2014/6/27,0.00430217,4371.8,4398.85,4371.6,4397.93
2014/6/30,0.00232793,4398.37,4417.46,4396.59,4408.18
2014/7/1,0.011384124,4424.71,4471.6,4424.43,4458.65
2014/7/2,-0.000206362,4457.86,4466.92,4450.87,4457.73
2014/7/3,0.006306164,4472.89,4485.93,4463.85,4485.93
2014/7/7,-0.007697975,4477.74,4478.02,4447.6,4451.53
2014/7/8,-0.013586111,4442.87,4443.56,4372.04,4391.46
2014/7/9,0.006258469,4403.03,4421.93,4388.01,4419.03
2014/7/10,-0.005179684,4352.03,4415.85,4351.04,4396.2
2014/7/11,0.004378282,4401.05,4417.16,4389.29,4415.49
2014/7/14,0.005630153,4441.39,4451.6,4432.95,4440.42
2014/7/15,-0.005426346,4444.91,4451.93,4389.7,4416.39
2014/7/16,0.002166843,4446.17,4448.87,4419.71,4425.97
2014/7/17,-0.014226435,4411.52,4425.38,4352.23,4363.45
2014/7/18,0.015621765,4379.94,4434.44,4378.22,4432.15
2014/7/21,-0.001682314,4421.2,4432.41,4404.51,4424.7
2014/7/22,0.007053511,4444.94,4464.13,4443.35,4456.02
2014/7/23,0.003959816,4468.16,4480.73,4457.94,4473.7
2014/7/24,-0.000355474,4481.61,4485.5,4465.94,4472.11
2014/7/25,-0.005055118,4448.06,4457.95,4430.43,4449.56
2014/7/28,-0.001045594,4451.12,4455.39,4413.91,4444.91
2014/7/29,-0.000497322,4456.07,4470.97,4441.03,4442.7
2014/7/30,0.004536479,4468.44,4476.06,4444.51,4462.9
2014/7/31,-0.021088403,4421.29,4430.8,4367.15,4369.77
2014/8/1,-0.003927819,4363.39,4385.05,4324.02,4352.64
2014/8/4,0.007153901,4365.62,4395.38,4343.03,4383.89
2014/8/5,-0.007107952,4364.59,4383.02,4333.58,4352.84
