Date,Open,High,Low,Close,Hurst
2016/2/18,4548.1,4548.47,4482.77,4487.54,0.408602351
2016/2/19,4464.67,4513.15,4455.1,4504.43,0.420661275
2016/2/22,4548.31,4576.47,4546.55,4570.61,0.414397623
2016/2/23,4550.05,4558.06,4500.94,4503.58,0.419417233
2016/2/24,4453.93,4547.64,4425.72,4542.61,0.413277646
2016/2/25,4554.73,4582.2,4516.89,4582.2,0.423348031
2016/2/26,4615.14,4618.85,4580.78,4590.47,0.437794855
2016/2/29,4585.3,4619.9,4557.46,4557.95,0.445717771
2016/3/1,4596.01,4689.6,4581.75,4689.6,0.433609528
2016/3/2,4683.8,4703.57,4665.93,4703.42,0.432675389
2016/3/3,4698.38,4707.72,4674.46,4707.42,0.450762626
2016/3/4,4715.77,4746.65,4687.94,4717.02,0.473090827
2016/3/7,4690.88,4731.19,4674.82,4708.25,0.467408476
2016/3/8,4676.22,4695.03,4642.86,4648.82,0.452598097
2016/3/9,4666.42,4676.47,4642.42,4674.38,0.439079509
2016/3/10,4691.2,4716.14,4607.99,4662.16,0.434156626
2016/3/11,4712.38,4748.79,4700.91,4748.47,0.438316253
2016/3/14,4733.39,4762.27,4731.51,4750.28,0.445166242
2016/3/15,4731.14,4735.27,4712.07,4728.67,0.439538393
2016/3/16,4717.88,4774.78,4716.45,4763.97,0.442037442
2016/3/17,4752.62,4788.09,4737.97,4774.98,0.442624108
2016/3/18,4784.63,4804.58,4772.41,4795.65,0.453299871
2016/3/21,4787.31,4814.85,4785.38,4808.87,0.454719316
2016/3/22,4783.6,4835.6,4781.71,4821.66,0.455327549
2016/3/23,4813.87,4816.67,4765.37,4768.86,0.449619305
2016/3/24,4743.36,4773.51,4734.77,4773.51,0.456073915
2016/3/28,4785.25,4787.39,4760.01,4766.79,0.462618435
2016/3/29,4756.55,4849.31,4749.78,4846.62,0.474270945
2016/3/30,4875.46,4899.14,4859.35,4869.29,0.46922642
2016/3/31,4869.57,4891.3,4864.41,4869.85,0.459849046
2016/4/1,4842.55,4917.09,4832.06,4914.54,0.450229276
2016/4/4,4911.22,4917.75,4885.17,4891.8,0.454125411
2016/4/5,4855.9,4872.7,4838.62,4843.93,0.444171145
2016/4/6,4849.57,4921.51,4849.28,4920.72,0.440228121
2016/4/7,4893.57,4901.49,4831.49,4848.37,0.429982469
2016/4/8,4883.99,4892.6,4835.36,4850.69,0.432766778
2016/4/11,4873.39,4897.55,4833.4,4833.4,0.443468515
2016/4/12,4838.81,4879.6,4808.91,4872.09,0.441078463
2016/4/13,4904.79,4951.91,4903.6,4947.42,0.419139784
